section,textbook,category,question_id,correct_answer
bmunhak,mother_tongue,humanities,1,3
bmunhak,mother_tongue,humanities,2,5
bmunhak,mother_tongue,humanities,3,1
bmunhak,mother_tongue,humanities,4,2
bmunhak,mother_tongue,humanities,5,3
bmunhak,mother_tongue,humanities,6,1
bmunhak,mother_tongue,humanities,7,4
bmunhak,mother_tongue,humanities,8,4
bmunhak,mother_tongue,humanities,9,5
bmunhak,mother_tongue,humanities,10,4
bmunhak,mother_tongue,humanities,11,3
bmunhak,mother_tongue,humanities,12,1
bmunhak,mother_tongue,humanities,13,5
bmunhak,mother_tongue,humanities,14,5
bmunhak,mother_tongue,humanities,15,3
bmunhak,mother_tongue,humanities,16,1
bmunhak,mother_tongue,humanities,17,1
bmunhak,mother_tongue,humanities,18,3
bmunhak,mother_tongue,humanities,19,4
bmunhak,mother_tongue,humanities,20,1
bmunhak,mother_tongue,humanities,21,2
bmunhak,mother_tongue,humanities,22,3
bmunhak,mother_tongue,humanities,23,1
bmunhak,mother_tongue,humanities,24,3
bmunhak,mother_tongue,humanities,25,4
bmunhak,mother_tongue,humanities,26,3
bmunhak,mother_tongue,humanities,27,2
bmunhak,mother_tongue,humanities,28,3
bmunhak,mother_tongue,humanities,29,2
bmunhak,mother_tongue,humanities,30,4
bmunhak,mother_tongue,humanities,31,5
bmunhak,mother_tongue,humanities,32,5
bmunhak,mother_tongue,humanities,33,5
bmunhak,mother_tongue,humanities,34,3
bmunhak,mother_tongue,humanities,35,2
bmunhak,mother_tongue,humanities,36,3
bmunhak,mother_tongue,humanities,37,5
bmunhak,mother_tongue,humanities,38,2
bmunhak,mother_tongue,humanities,39,3
bmunhak,mother_tongue,humanities,40,1
bmunhak,mother_tongue,humanities,41,2
bmunhak,mother_tongue,humanities,42,1
bmunhak,mother_tongue,humanities,43,2
bmunhak,mother_tongue,humanities,44,2
bmunhak,mother_tongue,humanities,45,3
bmunhak,mother_tongue,humanities,46,4
bmunhak,mother_tongue,humanities,47,4
bmunhak,mother_tongue,humanities,48,4
bmunhak,mother_tongue,humanities,49,3
bmunhak,mother_tongue,humanities,50,3
bmunhak,mother_tongue,humanities,51,4
bmunhak,mother_tongue,humanities,52,4
bmunhak,mother_tongue,humanities,53,5
bmunhak,mother_tongue,humanities,54,1
bmunhak,mother_tongue,humanities,55,4
bmunhak,mother_tongue,humanities,56,5
bmunhak,mother_tongue,humanities,57,1
bmunhak,mother_tongue,humanities,58,4
bmunhak,mother_tongue,humanities,59,4
bmunhak,mother_tongue,humanities,60,5
bmunhak,mother_tongue,humanities,61,4
bmunhak,mother_tongue,humanities,62,1
bmunhak,mother_tongue,humanities,63,1
bmunhak,mother_tongue,humanities,64,2
bmunhak,mother_tongue,humanities,65,2
bmunhak,mother_tongue,humanities,66,4
bmunhak,mother_tongue,humanities,67,5
bmunhak,mother_tongue,humanities,68,5
bmunhak,mother_tongue,humanities,69,2
bmunhak,mother_tongue,humanities,70,5
bmunhak,mother_tongue,humanities,71,5
bmunhak,mother_tongue,humanities,72,3
bmunhak,mother_tongue,humanities,73,2
bmunhak,mother_tongue,humanities,74,1
bmunhak,mother_tongue,humanities,75,5
bmunhak,mother_tongue,humanities,76,1
bmunhak,mother_tongue,humanities,77,4
bmunhak,mother_tongue,humanities,78,4
bmunhak,mother_tongue,humanities,79,5
bmunhak,mother_tongue,humanities,80,2
bmunhak,mother_tongue,humanities,81,4
bmunhak,mother_tongue,humanities,82,4
bmunhak,mother_tongue,humanities,83,2
bmunhak,mother_tongue,humanities,84,2
bmunhak,mother_tongue,humanities,85,4
bmunhak,mother_tongue,humanities,86,5
bmunhak,mother_tongue,humanities,87,2
bmunhak,mother_tongue,humanities,88,1
bmunhak,mother_tongue,humanities,89,2
bmunhak,mother_tongue,humanities,90,3
bmunhak,mother_tongue,humanities,91,4
bmunhak,mother_tongue,humanities,92,4
bmunhak,mother_tongue,humanities,93,1
bmunhak,mother_tongue,humanities,94,5
bmunhak,mother_tongue,humanities,95,3
bmunhak,mother_tongue,humanities,96,5
bmunhak,mother_tongue,humanities,97,1
bmunhak,mother_tongue,humanities,98,2
bmunhak,mother_tongue,humanities,99,3
bmunhak,mother_tongue,humanities,100,1
bmunhak,mother_tongue,humanities,101,3
bmunhak,mother_tongue,humanities,102,1
bmunhak,mother_tongue,humanities,103,2
bmunhak,mother_tongue,humanities,104,3
bmunhak,mother_tongue,humanities,105,4
bmunhak,mother_tongue,humanities,106,5
bmunhak,mother_tongue,humanities,107,4
bmunhak,mother_tongue,humanities,108,5
bmunhak,mother_tongue,humanities,109,4
bmunhak,mother_tongue,humanities,110,5
bmunhak,mother_tongue,humanities,111,1
bmunhak,mother_tongue,humanities,112,1
bmunhak,mother_tongue,humanities,113,4
bmunhak,mother_tongue,humanities,114,3
bmunhak,mother_tongue,humanities,115,3
bmunhak,mother_tongue,humanities,116,5
bmunhak,mother_tongue,humanities,117,1
bmunhak,mother_tongue,humanities,118,1
bmunhak,mother_tongue,humanities,119,4
bmunhak,mother_tongue,humanities,120,5
bmunhak,mother_tongue,humanities,121,3
bmunhak,mother_tongue,humanities,122,2
bmunhak,mother_tongue,humanities,123,4
bmunhak,mother_tongue,humanities,124,5
bmunhak,mother_tongue,humanities,125,3
bmunhak,mother_tongue,humanities,126,2
bmunhak,mother_tongue,humanities,127,1
bmunhak,mother_tongue,humanities,128,2
bmunhak,mother_tongue,humanities,129,4
bmunhak,mother_tongue,humanities,130,5
bmunhak,mother_tongue,humanities,131,3
bmunhak,mother_tongue,humanities,132,5
bmunhak,mother_tongue,humanities,133,5
bmunhak,mother_tongue,humanities,134,1
bmunhak,mother_tongue,humanities,135,4
bmunhak,mother_tongue,humanities,136,5
bmunhak,mother_tongue,humanities,137,3
bmunhak,mother_tongue,humanities,138,2
bmunhak,mother_tongue,humanities,139,5
bmunhak,mother_tongue,humanities,140,2
bmunhak,mother_tongue,humanities,141,3
bmunhak,mother_tongue,humanities,142,4
bmunhak,mother_tongue,humanities,143,4
bmunhak,mother_tongue,humanities,144,2
bmunhak,mother_tongue,humanities,145,2
bmunhak,mother_tongue,humanities,146,1
bmunhak,mother_tongue,humanities,147,1
bmunhak,mother_tongue,humanities,148,4
bmunhak,mother_tongue,humanities,149,5
bmunhak,mother_tongue,humanities,150,3
bmunhak,mother_tongue,humanities,151,4
bmunhak,mother_tongue,humanities,152,3
bmunhak,mother_tongue,humanities,153,1
bmunhak,mother_tongue,humanities,154,4
bmunhak,mother_tongue,humanities,155,2
bmunhak,mother_tongue,humanities,156,4
bmunhak,mother_tongue,humanities,157,5
bmunhak,mother_tongue,humanities,158,4
bmunhak,mother_tongue,humanities,159,2
bmunhak,mother_tongue,humanities,160,4
bmunhak,mother_tongue,humanities,161,3
bmunhak,mother_tongue,humanities,162,3
bmunhak,mother_tongue,humanities,163,2
bmunhak,mother_tongue,humanities,164,5
bmunhak,mother_tongue,humanities,165,4
bmunhak,mother_tongue,humanities,166,5
bmunhak,mother_tongue,humanities,167,5
bmunhak,mother_tongue,humanities,168,4
bmunhak,mother_tongue,humanities,169,2
bmunhak,mother_tongue,humanities,170,4
bmunhak,mother_tongue,humanities,171,1
bmunhak,mother_tongue,humanities,172,4
bmunhak,mother_tongue,humanities,173,5
bmunhak,mother_tongue,humanities,174,3
bmunhak,mother_tongue,humanities,175,5
bmunhak,mother_tongue,humanities,176,4
bmunhak,mother_tongue,humanities,177,2
bmunhak,mother_tongue,humanities,178,5
bmunhak,mother_tongue,humanities,179,3
bmunhak,mother_tongue,humanities,180,4
bmunhak,mother_tongue,humanities,181,5
bmunhak,mother_tongue,humanities,182,3
bmunhak,mother_tongue,humanities,183,3
bmunhak,mother_tongue,humanities,184,4
bmunhak,mother_tongue,humanities,185,5
bmunhak,mother_tongue,humanities,186,4
bmunhak,mother_tongue,humanities,187,5
bmunhak,mother_tongue,humanities,188,2
bmunhak,mother_tongue,humanities,189,5
bmunhak,mother_tongue,humanities,190,2
bmunhak,mother_tongue,humanities,191,2
bmunhak,mother_tongue,humanities,192,5
bmunhak,mother_tongue,humanities,193,3
bmunhak,mother_tongue,humanities,194,1
bmunhak,mother_tongue,humanities,195,2
bmunhak,mother_tongue,humanities,196,3
bmunhak,mother_tongue,humanities,197,3
bmunhak,mother_tongue,humanities,198,2
bmunhak,mother_tongue,humanities,199,5
bmunhak,mother_tongue,humanities,200,1
bmunhak,mother_tongue,humanities,201,4
bmunhak,mother_tongue,humanities,202,5
bmunhak,mother_tongue,humanities,203,1
bmunhak,mother_tongue,humanities,204,1
bmunhak,mother_tongue,humanities,205,4
bmunhak,mother_tongue,humanities,206,1
bmunhak,mother_tongue,humanities,207,1
bmunhak,mother_tongue,humanities,208,5
bmunhak,mother_tongue,humanities,209,4
bmunhak,mother_tongue,humanities,210,2
bmunhak,mother_tongue,humanities,211,5
bmunhak,mother_tongue,humanities,212,1
bmunhak,mother_tongue,humanities,213,1
bmunhak,mother_tongue,humanities,214,3
bmunhak,mother_tongue,humanities,215,5
bmunhak,mother_tongue,humanities,216,5
bmunhak,mother_tongue,humanities,217,1
bmunhak,mother_tongue,humanities,218,3
bmunhak,mother_tongue,social,1,1
bmunhak,mother_tongue,social,2,5
bmunhak,mother_tongue,social,3,4
bmunhak,mother_tongue,social,4,2
bmunhak,mother_tongue,social,5,2
bmunhak,mother_tongue,social,6,5
bmunhak,mother_tongue,social,7,5
bmunhak,mother_tongue,social,8,4
bmunhak,mother_tongue,social,9,1
bmunhak,mother_tongue,social,10,3
bmunhak,mother_tongue,social,11,4
bmunhak,mother_tongue,social,12,5
bmunhak,mother_tongue,social,13,5
bmunhak,mother_tongue,social,14,3
bmunhak,mother_tongue,social,15,2
bmunhak,mother_tongue,social,16,4
bmunhak,mother_tongue,social,17,2
bmunhak,mother_tongue,social,18,3
bmunhak,mother_tongue,social,19,1
bmunhak,mother_tongue,social,20,2
bmunhak,mother_tongue,social,21,5
bmunhak,mother_tongue,social,22,4
bmunhak,mother_tongue,social,23,3
bmunhak,mother_tongue,social,24,3
bmunhak,mother_tongue,social,25,4
bmunhak,mother_tongue,social,26,3
bmunhak,mother_tongue,social,27,1
bmunhak,mother_tongue,social,28,3
bmunhak,mother_tongue,social,29,2
bmunhak,mother_tongue,social,30,1
bmunhak,mother_tongue,social,31,5
bmunhak,mother_tongue,social,32,1
bmunhak,mother_tongue,social,33,4
bmunhak,mother_tongue,social,34,3
bmunhak,mother_tongue,social,35,2
bmunhak,mother_tongue,social,36,1
bmunhak,mother_tongue,social,37,5
bmunhak,mother_tongue,social,38,1
bmunhak,mother_tongue,social,39,5
bmunhak,mother_tongue,social,40,3
bmunhak,mother_tongue,social,41,5
bmunhak,mother_tongue,social,42,4
bmunhak,mother_tongue,social,43,1
bmunhak,mother_tongue,social,44,4
bmunhak,mother_tongue,social,45,5
bmunhak,mother_tongue,social,46,2
bmunhak,mother_tongue,social,47,5
bmunhak,mother_tongue,social,48,5
bmunhak,mother_tongue,social,49,1
bmunhak,mother_tongue,social,50,5
bmunhak,mother_tongue,social,51,4
bmunhak,mother_tongue,social,52,3
bmunhak,mother_tongue,social,53,3
bmunhak,mother_tongue,social,54,2
bmunhak,mother_tongue,social,55,1
bmunhak,mother_tongue,social,56,3
bmunhak,mother_tongue,social,57,5
bmunhak,mother_tongue,social,58,3
bmunhak,mother_tongue,social,59,4
bmunhak,mother_tongue,social,60,5
bmunhak,mother_tongue,social,61,1
bmunhak,mother_tongue,social,62,4
bmunhak,mother_tongue,social,63,1
bmunhak,mother_tongue,social,64,5
bmunhak,mother_tongue,social,65,1
bmunhak,mother_tongue,social,66,5
bmunhak,mother_tongue,social,67,5
bmunhak,mother_tongue,social,68,2
bmunhak,mother_tongue,social,69,1
